description,category
Wasabi,Eating Out
M&S,Groceries
M&S,Groceries
UBS Breakfast,Eating Out
"Triple Birthday with Deeya, Leia",Social
Oyster Topup,Transportation
Unqilo Joggers,Shopping
Lidl,Groceries
Fish & Chips Margate,Social
Dinner Margate ,Social
Train to Margate,Travel
Water Aldi,Groceries
Rimworld,Shopping
Tesco,Groceries
Lidl,Groceries
UBS Breakfast,Eating Out
Voxi,Bills
Dog Insurance,Dogs
Three Uncles,Social
Wasabi,Eating Out
Tesco,Groceries
M&S,Groceries
UBS Lunch,Eating Out
UBS Breakfast,Eating Out
Dog Treats,Dogs
Paella,Eating Out
Tesco,Groceries
Oyster Topup,Transportation
Wifi,Bills
Tesco,Groceries
Drinks with Chee Seng,Social
seaweed,Groceries
chocolate twist,Groceries
Nail Clipper,Grooming
UBS Breakfast,Eating Out
Padella with Chee Seng,Eating Out
Lidl,Groceries
UBS Breakfast,Eating Out
Plaza Khao Gaeng with Nicole,Eating Out
Council Tax,Bills
M&S Groceries,Groceries
Fish & Chips,Eating Out
Totoro Ticket,Social
Icloud,Bills
flowers for rachel,Social
Ice Cream totoro,Eating Out
kangnam pocha,Eating Out
Oyster Topup,Transportation
M&S Groceries,Groceries
Coffee,Social
UBS Breakfast,Eating Out
Lidl,Groceries
Tesco,Groceries
Lidl,Groceries
M&S Groceries,Groceries
UBS Breakfast,Eating Out
UBS M&Ms,Eating Out
UBS M&Ms,Eating Out
UBS Breakfast,Eating Out
TK Maxx,Shopping
Rimworld DLC,Shopping
Charlie Blanket,Dogs
Papa John,Social
M&S Groceries,Groceries
Tesco,Groceries
UBS Breakfast,Eating Out
Uniqlo Joggers,Shopping
Thames Water,Bills
Octopus Electricity,Bills
Wasabi ,Eating Out
UBS Breakfast,Eating Out
Rent,Bills
C&R w Nicole,Eating Out
Demon Slayer Movie,Social
Oyster Topup,Transportation
Flight to Singapore,Travel
M&S Groceries,Groceries
Flight to Japan,Travel
UBS Breakfast,Eating Out
Church Donation,Gifts
Taro London Jap food,Eating Out
Tian Tian Groceries,Groceries
Tesco,Groceries
Market halls thai food w nicole,Eating Out
Lidl Groceries,Groceries
Tesco Groceries,Groceries
Lidl Groceries,Groceries
UBS Breakfast,Eating Out
UBS Breakfast,Eating Out
UBS M&Ms,Eating Out
UBS M&Ms,Eating Out
HeyTea,Eating Out
Wasabi ,Social
UBS M&Ms,Eating Out
UBS M&Ms,Eating Out
UBS Breakfast,Eating Out
Voxi,Bills
Oyster Topup,Transportation
Tesco,Groceries
Papa Johns Deliveroo,Social
Waggel Insurance,Dogs
Dozo w Nicole,Social
Hinaga w Nicole,Social
Salomons for Nicole Bday,Shopping
Tesco Groceries,Groceries
M&Ms UBS,Eating Out
Golden Gate,Social
UBS Breakfast,Eating Out
Tesco,Groceries
Volunteering Lunch,Eating Out
Oyster Topup,Transportation
UBS M&M,Groceries
UBS M&M,Groceries
M&S,Groceries
UBS Breakfast,Eating Out
Jenki Spitafields,Social
Lidl Groceries,Groceries
Gails,Social
Dog stuff / New Bowl,Shopping
Wifi,Bills
Council Tax,Bills
Electricity,Bills
Tesco,Groceries
Airbnb Japan 2026 Kyoto Osaka,Travel
Airbnb Japan 2026 Kyoto Osaka,Travel
Donation to homeless at church,Gifts
Noodle and Beer,Social
Cafe Breakfast w Nicole,Social
Tesco,Groceries
Brentford game pint,Social
Brentford game,Social
Dozo london with Keane,Social
UBS Breakfast,Eating Out
UBS Chocolate,Eating Out
UBS Chocolate,Eating Out
iCloud,Bills
UBS Breakfast,Eating Out
UBS Chocolate,Eating Out
UBS Chocolate,Eating Out
Oyster Topup,Transportation
Heytea,Eating Out
Woojung w Deeya Nicole,Social
UBS Breakfast,Eating Out
Kintan,Eating Out
UBS Chocolate,Eating Out
UBS Chocolate,Eating Out
Pooch & Mutt,Dogs
Five Guys w Nicole,Social
M&S Flowers for Queenie,Shopping
Roast Dinner w Nicole,Social
UBS Breakfast,Eating Out
UBS Chocolate,Eating Out
Oyster Topup,Transportation
UBS Chocolate,Eating Out
UBS Eggs for lunch,Eating Out
UBS Breakfast,Eating Out
Papa Johns Pizza,Eating Out
Tesco,Groceries
Thames Water,Bills
Rent,Bills
Lidl Groceries,Groceries
UBS Breakfast,Eating Out
UBS M&M,Eating Out
UBS M&M,Eating Out
Viet Bahn Mi,Eating Out
Tesco,Groceries
Donation to homeless at church,Gifts
asian mart,Groceries
Zima,Social
Lidl,Groceries
Dog Insurance,Dogs
Dinner near Nicole Office Italian Bread,Eating Out
Breakfast UBS,Eating Out
Tesco,Groceries
Viet Bahn Mi,Eating Out
Lidl,Groceries
Tesco,Groceries
Oyster Topup,Transportation
Scoot Flight to Sg,Travel
Breakfast UBS,Eating Out
UBS M&M,Eating Out
Breakfast UBS,Eating Out
UBS Lunch,Eating Out
flowers for Nicole M&S,Social
Viet Bahn Mi,Eating Out
Deliveroo ,Social
TKMAXX gift for Janelle,Social
McD Breakfast w Nicole,Social
Lidl,Groceries
Voxi,Bills
UBS M&M,Eating Out
UBS Breakfast,Eating Out
Dog Insurance,Dogs
"Viet Bahn Mi, treating Aleks",Eating Out
Wifi Virgin Media,Bills
M&S,Groceries
Tesco,Groceries
NeuHaus,Social
NeuHaus,Social
Food @ Heathrow,Travel
Oyster Topup,Transportation
M&S,Groceries
Heating SSE,Bills
Steam Rimworld,Social
Eye drop,Grooming
Food @ Changi,Social
Food @ Changi,Social
Food @ Changi,Social
Garrett popcorn for Nicole's Dad,Social
Pandan Cake,Social
Airlo Sim for Jkt,Travel
Chateraise,Travel
Nicole's Nails,Travel
Gojek,Travel
Chateraise,Travel
Katsu with Nicole between wedding,Travel
Gojek,Travel
Treating Nicole Family to Dim Sum Breakfast,Travel
Batik,Travel
Tea at Mall,Travel
Sg airport gojek to home,Travel
Korean tofu house treat mom for birthday,Travel
Give Mom Money + Treat Wai Gong & Wai Po Dinner,Travel
Gojek,Travel
Gojek,Travel
Binge Breakfast w Rasheed,Travel
Guardian Eyedrops,Travel
Treating David to food,Travel
Gojek,Travel
Treat Dad for his birthday,Travel
Gojek,Travel
Treat Nicole's Parents to Jack Daniels,Travel
Esim for INdo,Travel
Bar food with Edgar & Arica,Travel
Treat Friends to dinner,Travel
Coffee Bread for myself & Nicole parents,Travel
Apple Icloud,Bills
Gojek,Travel
Treat Tasya & Fadli to Genki,Travel
Food @ Changi,Travel
Food @ Changi,Travel
Wasbi Onigiri,Eating Out
Bus singapore,Travel
Pad Thai @ Victoria Park ,Eating Out
Uniqlo Indo,Travel
Dentist Indo,Travel
Council Tax,Bills
Goggles,Shopping
Shoe bags,Shopping
Electricity,Bills
Water,Bills
UBS Lunch,Eating Out
UBS Breakfast,Eating Out
Lidl,Groceries
Tesco,Groceries
New Bedsheets,Shopping
Oyster Topup,Transportation
Lidl,Groceries
UBS Breakfast,Eating Out
Rent,Bills
Photos w yx & Laasya,Social
Asahi,Social
Mcds,Social
UBS Breakfast,Eating Out
Three Uncles,Eating Out
UBS Breakfast,Eating Out
Oyster Topup,Transportation
Tesco,Groceries
Tesco Cds,Groceries
Viet Pho,Eating Out
Donation to homeless church,Gifts
Golden Gate Bread,Eating Out
Noodle & Beer w Nicole,Eating Out
Airbnb Tokyo,Travel
 Kitchen Aid,Shopping
Groceries Lidl,Groceries
M&M,Eating Out
Voxi,Bills
UBS Breakfast,Eating Out
Heytea,Eating Out
Wasabi w Nicole,Eating Out
Lidl,Groceries
M&M,Eating Out
UBS Breakfast,Eating Out
UBS Breakfast,Eating Out
Boots Nail clippers,Shopping
Dog Insurance,Dogs
3 Uncles,Eating Out
UBS Breakfast,Eating Out
Golden Gate Char Siew Bread,Eating Out
Eat Tokyo,Eating Out
Donation to church,Gifts
Mark Bowl,Gifts
Waterstones Gift for Prajj,Gifts
Oyster Topup,Transportation
Lidl,Groceries
UBS Breakfast,Eating Out
Char Kuey Teow w Zarek,Eating Out
UBS Breakfast,Eating Out
Oyster Topup,Transportation
UBS Breakfast,Eating Out
Council Tax,Bills
Virgin Wifi,Bills
Deliveroo Wingstop,Eating Out
ICloud Storage,Bills
Tesco,Groceries
M&S,Groceries
Lidl,Groceries
Deliveroo Pizza,Eating Out
Heytea,Eating Out
UBS Breakfast,Eating Out
UBS Breakfast,Eating Out
Thames Water,Bills
Octopus Elect,Bills
UBS Breakfast,Eating Out
McD,Social
UBS Breakfast,Eating Out
M&S,Groceries
Oyster Topup,Transportation
Lynn Present,Gifts
Asian Mart,Groceries
Dog Poop bag holder,Dogs
Rudys Lynns birthday,Social
Lidl,Groceries
Arcade Games at Lynn Birthday,Social
C&R,Eating Out
Molly Tea,Eating Out
Oyster Topup,Transportation
UBS Breakfast,Eating Out
Three Uncles,Eating Out
UBS choco,Eating Out
Three Uncles copy,Eating Out
UBS Breakfast,Eating Out
Three Uncles,Eating Out
Rent,Bills
Plaza Khao Gaeng,Social
Tk Alex Gift + Cutlery,Social
Movie,Social
Viet Baguette,Social
Viet Baguette,Social
Steam Games,Social
Lidl,Groceries
Voxi,Bills
Uber to Robin Place,Social
Dog Insurance,Dogs
Dinner groceries,Groceries
Tesco Groceries,Groceries
Draw money,Social
Chinatown Bread,Groceries
Tesco Groceries,Groceries
Zima w Aloy ,Social
Oyster Topup,Transportation
M&S,Groceries
Bus tix to exeter,Travel
Journal for Nicole,Gifts
Train for Homeless,Gifts
Money for Homeless,Gifts
Breakfast with David,Eating Out
Ldn Tube,Travel
Lunch with Nicole,Eating Out
Lunch with Nicole,Eating Out
Dinner with Nicole,Eating Out
Sauce cup,Eating Out
Ldn Tube,Travel
Taxi home,Travel
Bus ride change,Travel
Flowers for Nicole,Gifts
Milk,Groceries
Ryanair verification,Travel
Tofu,Groceries
Chicken,Groceries
Sweets,Groceries
Fruits,Groceries
Bus home,Groceries
Tuna Sandwich,Eating Out
Bus change from Ldn - Exeter,Travel
Forum Kitchen Lunch,Eating Out
Starbucks,Eating Out
Hot Choc Pret,Eating Out
Lunch Efes,Eating Out
Sainsbury,Groceries
Bus,Transportation
Voxi,Bills
Train to Southend,Travel
Lunch,Eating Out
Taxi,Transportation
To Stevenage,Travel
Tube,Travel
Train from stevenage to ldn,Travel
Uber to Stevenage Stn,Travel
Train to Ldn from Stevenage,Travel
Wasabi Lunch,Eating Out
Bus to Stansted,Travel
Lunch with anchor brothers,Eating Out
Train to stevenage,Travel
Uber to Stevenage Stn,Travel
Uber to Nicole,Travel
Costa Coffee,Eating Out
Burger King ,Eating Out
Voxi,Bills
Train to Oslo City,Travel
Andersson Bell Sweater for Nicole,Gifts
Coffee in Norway,Eating Out
Warmies for Nicole,Gifts
Co-Op Groceries for Norway,Groceries
Tube Ldn,Travel
Oslo Tourist Pass,Travel
Ski Rental & Ski pass,Travel
Vanilla Milkshake,Eating Out
Postcards for Nicole,Gifts
Apple Crumble Gelato,Eating Out
Strawberry Milkshake,Eating Out
Train to Oslo Airport,Travel
Uber to Nicole's,Travel
To stevenage,Travel
Uber to Stevenage Stn,Travel
Train to Ldn from Stevenage,Travel
Uber to Stevenage Stn,Travel
Train to Ldn from Stevenage,Travel
Burger King,Eating Out
Train to Vienna City Centre,Travel
Lunch,Eating Out
Gelato,Eating Out
Hotel Keycard,Travel
Macs Dinner,Eating Out
Tiramisu Cake,Eating Out
train to budapest that i missed,Travel
Train to budapest,Travel
pizza in vienna,Eating Out
Fried Rice in Budapest,Eating Out
Chicken In Asian Store In Budapest,Eating Out
Aloe Vera in budapest Asian Store,Eating Out
Drinks and Burger at sports bar in Budapest,Eating Out
Costa Coffee at Stansted,Eating Out
Black Sheep Coffee at Heathrow,Eating Out
Curry & Tofu,Groceries
Egg & Pasta Sauce & Cheese,Groceries
Milk,Groceries
Bus home from town,Transportation
Cny Event Singsoc,Social
Sausages & Mentos,Groceries
Thai Milk Tea,Eating Out
Tangyuan,Groceries
Bubble tea,Eating Out
Somboon ,Eating Out
Bus,Transportation
Taxi to bus depot,Travel
Train to Stevenage,Travel
Flowers & Bagel & Jam,Groceries
Uber,Transportation
Uber,Transportation
Uber,Transportation
Uber,Transportation
Beer at spoons,Eating Out
National Express,Travel
Costa Coffee,Eating Out
Tube,Transportation
Burger King Lunch,Eating Out
Voxi Roaming,Travel
Bus to Stockholm Central,Travel
Burgers in Stockholm,Eating Out
Cinnamon Rolls,Eating Out
Co-Op,Groceries
Flix bus to Upsalla,Travel
Ferry Tickets in Stockholm,Travel
Ferry Tickets in Stockholm,Travel
Vanilla Latte & Cinnamon Bun,Eating Out
Bread & Maggie,Groceries
Ikea Meatballs,Eating Out
Ikea Apple Crumble & Ice Cream,Eating Out
Train from Hatfield to Exeter,Travel
Omakase Sushi,Eating Out
Coop,Groceries
Postcards for Nicole,Gifts
Postcards for Nicole,Gifts
Carrot Cake,Eating Out
Bus date change to april,Travel
Bus to Hatfield,Travel
Bus to Gothenburg from Uppsala,Travel
Voxi Roaming,Travel
Kebab at Uppsala to Gothenburg Bus Terminal,Eating Out
Train at Gothenburg,Travel
Voxi Roaming,Travel
Postcard for Nicole,Gifts
Carrot Cake at Gothenburg,Eating Out
Groceries at Gothenburg,Groceries
Bus to Gothenburg Airport,Travel
Postcard for Nicole,Gifts
Dior Sauvage & Chanel no5 for Nicole,Gifts
Bus to Stevenage,Transportation
toilet paper,Groceries
Bus to Stevenage,Transportation
"Tesco, Grapes etc",Groceries
Train to London,Transportation
Tesco,Groceries
Facemasks & toner,Health/Medical
Goldmine Ldn with Nicole,Eating Out
Photobooth in Ldn,Social
Train to London,Transportation
"Knoops, Hot Choco",Eating Out
"Knoops, Cookie",Eating Out
Ldn Tube,Transportation
Tesco,Groceries
Yaegaebomb w Nicole & Nicholas,Social
Yaegaebomb,Social
Yaegaebomb,Social
Yaegaebomb,Social
Ldn Tube,Transportation
Uber to Stevenage,Transportation
M&S,Groceries
Somboon Dinner,Eating Out
Taxi home from Somboon w Nicole,Transportation
Laundry,Bills
Train to St thomas tkmaxx,Transportation
M&S,Groceries
Poundland,Groceries
Train to Exeter Central,Transportation
Tesco,Groceries
Bus Home,Transportation
Voxi,Bills
Milk,Groceries
Asian Mart,Groceries
Bus Home,Transportation
Pret,Eating Out
Efes Grill with Nicole,Eating Out
M&S,Groceries
Train to Exmouth w Nicole,Travel
Pret,Eating Out
Sainsbury,Groceries
Waffles with Nicole,Eating Out
Tesco,Groceries
M&S,Groceries
Sweden Accomodation,Travel
Bus home,Transportation
UBS Transport - Will get Reimbursed,Travel
Stevenage - London,Travel
Refund Admin Charge lol bc UBS wanted me to change dates,Travel
Tesco,Groceries
M&S,Groceries
Tesco,Groceries
Train Tix to Ldn,Travel
M&S,Groceries
Forum Kitchen,Eating Out
Nicole's Ticket to Exeter,Gifts
M&S,Groceries
Tesco,Groceries
Wilko,Groceries
Bus,Transportation
Train Exeter Central to Davids,Transportation
Tesco,Groceries
Forum Kitchen W Nicole,Eating Out
Drinks w Nicole by the Mill,Eating Out
Taxi home after drinks w Nicole,Transportation
Somboon Lunch w Nicole after Mass,Eating Out
M&S,Groceries
Asian Mart,Groceries
Tesco,Groceries
Singsoc Makan Night,Eating Out
Pret Almond Croissants,Eating Out
Namaste Exeter w Nicole,Eating Out
Sainsbury,Groceries
Bus,Transportation
Taxi to St Davids w Nicole,Transportation
Train to Exe Central from St Davids,Transportation
M&S,Groceries
Tesco,Groceries
Overcharged - Waiting for Refund,Transportation
Night Bus,Transportation
Bus to Ldn,Travel
Somboon,Eating Out
Tube,Transportation
LSE Dinner w Nicole,Eating Out
Groceries w Nicole,Groceries
Stevenage-Ldn,Transportation
Toba Dinner,Eating Out
Toba Dinner Nicole,Eating Out
Tube,Transportation
Uber,Transportation
Uber,Transportation
Train to Ldn,Transportation
M&S Cookie,Eating Out
Taxi Home from Bus station,Transportation
Tube,Transportation
Bus to city centre,Transportation
Tikka Masala & Coconut Milk,Groceries
Salt & Grapes,Groceries
Pad Thai,Eating Out
Tesco ,Groceries
M&S,Groceries
Rice,Groceries
Bus,Transportation
Bus,Transportation
Pizzas,Eating Out
Return tix to ldn,Travel
Groceries,Groceries
Tube,Transportation
Movie w Nicole,Social
Firejacks w Nicole,Eating Out
Train Stevenage - Ldn,Travel
Nicole Lunch,Eating Out
Taxi Home from Bus station,Travel
Tube,Transportation
Dinner Forum Kitchen,Eating Out
Pret Egg Sandwich,Eating Out
bus,Transportation
mentos co-op,Groceries
Sandwich co-op,Eating Out
Half Chicken Meal,Eating Out
Burrito Exeter,Eating Out
KinKhao Lunch w Keane & Heegon,Eating Out
M&S,Groceries
Tesco,Groceries
Ldn- Exeter Train,Travel
Streplis for throat,Health/Medical
Carrot Cake @ Waterstones,Eating Out
Somboon,Eating Out
Plymouth tixs w Nicole,Travel
Starbucks Ham& Cheese Panini,Eating Out
Tube,Transportation
Tesco,Groceries
Tesco,Groceries
Plymouth Airbnb,Travel
Tesco,Groceries
Eat Tokyo w Nicole,Eating Out
Ldn-Exeter,Travel
Tube,Transportation
Boots,Health/Medical
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Bus home to Stevenage,Transportation
Bus home to Stevenage,Transportation
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Tube,Transportation
Bus home to Stevenage,Transportation
Krispy Kreme,Eating Out
Tube,Transportation
Tesco,Groceries
Chai Latte w Nicole at Plymouth,Eating Out
Cake by terrace at Plymouth,Eating Out
Fish & Chips @ Plymouth,Eating Out
Ice Cream @ Plymouth,Eating Out
Pasta @ Plymouth,Eating Out
Tesco,Groceries
Fish & Chips @ Plymouth,Eating Out
Mountbatten Ferry,Transportation
Taxi home @ Plymouth,Transportation
Fish & Chips @ Plymouth,Eating Out
Boat ride to Cawsand & Kingsand,Transportation
"Hot tea, Chocolate & Cake @ the Dome Plymouth",Eating Out
Chicken Dinner otw back to Exeter,Eating Out
Voxi,Bills
Train to exeter central,Transportation
Starbucks Breakfast,Eating Out
Hot Choco @ Cafe Nero,Eating Out
Kecap Manis,Groceries
Rasa Sayang London,Eating Out
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Tube,Transportation
Bus home to Stevenage,Transportation
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Lunch w Jeremy,Eating Out
Mango Lychee Tea @ Whittard,Eating Out
Tsujiri,Eating Out
Train to Stevenage from Ldn,Transportation
Tube,Transportation
Donuts @ Co-Op,Groceries
Bus home to Stevenage,Transportation
Old Town Lunch w Nicole,Eating Out
Din Tai Feng w Nicole & Nicholas,Eating Out
Tube,Transportation
Train to Ldn from Exeter,Transportation
Tesco,Groceries
Tesco,Groceries
Bus home to Stevenage,Transportation
Grapes & Donuts @ Co-Op,Groceries
Bus home to Stevenage,Transportation
Coffee London,Eating Out
Meet Fresh London,Eating Out
Bus home to Stevenage,Transportation
Tube,Transportation
TK Maxx,Eating Out
Tesco,Groceries
Bus home to Stevenage,Transportation
Japanese Food w Nicole,Eating Out
Whale Tea,Eating Out
Rasa Sayang,Eating Out
Flights to Barcelona,Travel
Tube,Transportation
Airbnb in Barcelona,Travel
Chili Oil,Groceries
Groceries w Nicole,Groceries
Ldn-Exeter,Travel
Exeter-Ldn,Travel
Ldn-Exeter,Travel
Exeter-Ldn,Travel
Bus home to Stevenage,Transportation
Starbucks,Eating Out
Tesco,Groceries
co-op,Groceries
Food,Eating Out
Uber to station,Transportation
Train to Hatfield,Transportation
Tube,Transportation
Filter + Chicken Stock,Gifts
M&S,Groceries
Soy Milk,Groceries
Meat,Groceries
Eggs,Groceries
Taxi,Transportation
Flights to Italy,Travel
Train to London,Travel
Train to Exeter,Travel
Airbnb Italy,Travel
Bus to Florence,Travel
Bus to Rome,Travel
Rent for London,Bills
Bus,Transportation
Bus,Transportation
Train,Travel
Train,Travel
Train,Travel
Train,Travel
Wa cafe with Nicole,Eating Out
Uber,Transportation
Snacks,Groceries
Tube,Transportation
Uber,Travel
Train,Travel
Krispy Kreme,Eating Out
Burger King,Eating Out
Tube,Transportation
Esso,Eating Out
Costa Coffee,Eating Out
Groceries w Nicole,Groceries
Tube,Transportation
Kintan w Nicole,Eating Out
M&S,Groceries
Tesco,Groceries
Sainsbury,Groceries
Asian Mart,Groceries
Bubble Tea,Eating Out
Train to Stansted,Travel
Burger King,Eating Out
Voxi EU addon,Travel
Tube,Transportation
Metro Barcelona,Transportation
Burger Barcelona,Eating Out
Tube,Transportation
Bus Barcelona,Transportation
Tortilla & Sangria Dinner Barcelona,Eating Out
Breakfast Barcelona Orange Juice & Panini,Eating Out
Paella & Octopus & Sangria Lunch,Eating Out
Postcards,Gifts
Postcards,Gifts
Pastry for Dinner,Eating Out
Sangria,Eating Out
Pizza Dominos,Eating Out
Bus Barcelona,Transportation
Bus Barcelona,Transportation
Candle Church,Travel
Entrance fee to top of Tibidabo,Travel
Tortilla & Latte,Eating Out
Bus Ticket to Airport,Travel
Chocolate,Eating Out
Snowglobe for Nicole's Mom,Gifts
Burger King,Eating Out
Stansted-Liverpool,Travel
Lidl,Eating Out
Tube,Transportation
Spain bus,Transportation
Spain bus,Transportation
NIKI Concert,Social
Train To Stevenage,Transportation
Groceries w Nicole,Groceries
Bus Stevenage,Transportation
Tube,Transportation
Tesco,Groceries
Train,Transportation
Tube,Transportation
Lidl,Groceries
Tesco,Groceries
Mango Juice,Groceries
Bus Exeter,Transportation
Train to Brighton,Travel
Airbnb Brighton,Travel
Orange Juice,Groceries
Tube,Transportation
Forum Kitchen,Eating Out
Nicole Almond Croissant,Gifts
Esso,Eating Out
Train to Exeter,Transportation
Starbucks,Eating Out
Tube,Transportation
Tokyo Diner,Eating Out
Ice Cream,Eating Out
Lidl,Groceries
Uber ,Transportation
Tube,Transportation
Co-Op,Groceries
Bus,Transportation
Tesco,Groceries
Baos Kew Garden,Eating Out
LSE,Eating Out
Asian Mart,Groceries
Asian Mart,Groceries
Asian Mart,Groceries
Bus,Transportation
Tube,Transportation
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
June Rent,Bills
Tesco,Groceries
Bus,Transportation
Esso,Groceries
Tortilla,Eating Out
Paella,Eating Out
Tube,Transportation
Paella,Eating Out
Groceries,Groceries
M&S,Groceries
Lidl,Groceries
Tube,Transportation
Uber + bus,Transportation
Milkshake,Eating Out
Tube,Transportation
Train to Stansted,Travel
Voxi Europe,Travel
Burger King,Eating Out
Transport to Venice,Travel
Transport to Venice,Travel
Dinner in Venice,Eating Out
Transport to Venice,Travel
Lunch in Venice,Eating Out
Food,Eating Out
Pedron Caffe,Eating Out
Tube,Transportation
Lunch in Padua,Eating Out
Tram,Transportation
McD,Eating Out
Lunch in Florence,Eating Out
Water,Eating Out
Ice Cream,Eating Out
Dinner in Florence,Eating Out
Dinner in Florence,Eating Out
Water,Eating Out
Dinner in Florence,Eating Out
Ice Cream,Eating Out
Rome Transport,Transportation
McD,Eating Out
McD,Eating Out
McD,Eating Out
McD,Eating Out
Rome Transport,Transportation
Carbonara,Eating Out
Ice Cream,Eating Out
Rome Transport,Transportation
Sandwich,Eating Out
Pisa,Eating Out
Pasta Dinner Pisa,Eating Out
Transport to Airport Pisa,Transportation
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
Dinner w Nicole,Eating Out
Tube,Transportation
Chinatown,Eating Out
Old Town,Eating Out
Wasabi,Eating Out
Tube,Transportation
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Tesco,Groceries
Arriva Bus,Transportation
Tube,Transportation
Tesco,Groceries
Lidl,Groceries
The Bystander,Eating Out
Riddle & Fins,Eating Out
Pier View,Eating Out
Tube,Transportation
Tube,Transportation
Tube,Transportation
Wasabi,Eating Out
Meet Fresh,Eating Out
Tube,Transportation
Wasabi,Eating Out
Lidl,Groceries
UBS Breakfast,Eating Out
Tube,Transportation
Chinatown,Eating Out
Bingsu,Eating Out
Tube,Transportation
UBS Breakfast,Eating Out
Eat Tokyo,Eating Out
Arriva Bus,Transportation
Tube,Transportation
July Rent,Bills
Stevenage Bus,Transportation
Trainline,Transportation
Boots,Grooming
Wasabi,Eating Out
Tube,Transportation
Ice Cream,Eating Out
Goldmine,Eating Out
Trainline,Transportation
Tube,Transportation
Stevenage Bus,Transportation
toilet paper,Groceries
Island Poke,Eating Out
Train Fine,Transportation
Tube,Transportation
Lidl,Groceries
Tube,Transportation
UBS Breakfast,Eating Out
Apple Cloud,Bills
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Tube,Transportation
Tube,Transportation
Voxi,Bills
Lidl,Groceries
Bus,Transportation
Tube,Transportation
Bus,Transportation
Train to Stevenage,Transportation
UBS Coffee,Eating Out
Burger Dinner at Butchies,Eating Out
Skincare + fee,Health/Medical
Tube,Transportation
Lidl,Groceries
Tube,Transportation
Haircut,Health/Medical
Tube,Transportation
Lidl,Groceries
Pizza,Eating Out
Boots,Health/Medical
Rasa Sayang,Eating Out
Tube,Transportation
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Train,Transportation
Train,Transportation
Train,Transportation
Train,Transportation
Lidl,Groceries
Flight to Morocco,Travel
Pret,Eating Out
Asian Mart Rice,Groceries
Pho,Eating Out
Tube,Transportation
Chai Latte,Eating Out
UBS Breakfast,Eating Out
Tube,Transportation
Tube,Transportation
Lidl,Groceries
Train,Transportation
Lidl,Groceries
Morocco Desert Tour,Travel
Plants at Tesco,Social
Ikea food,Eating Out
Ikea plants,Social
Ikea Dinner,Eating Out
Tube,Transportation
Tesco,Groceries
Lidl,Groceries
Tube,Transportation
Chai Latte,Eating Out
Xingfutang,Eating Out
Tube,Transportation
Lauv Concert,Social
Lidl,Groceries
Five guys Milkshake,Eating Out
Apple Icloud,Bills
Tube,Transportation
Barbie,Social
Voxi,Bills
Chai Latte,Eating Out
Lidl,Groceries
Papa Johns Pizza,Eating Out
Train,Transportation
Tube,Transportation
Eataly Dinner,Eating Out
Ice Cream,Eating Out
Wasabi,Eating Out
Chai Latte,Eating Out
Lidl,Groceries
Tube,Transportation
Tesco,Groceries
Somboon,Eating Out
Train,Transportation
Train to Exmouth,Transportation
KinKhao ,Eating Out
Tube,Transportation
Bread,Eating Out
Bread,Eating Out
Tube,Transportation
Wasabi,Eating Out
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Pho,Eating Out
Tube,Transportation
Food from gas station,Eating Out
Food from gas station,Eating Out
Food from gas station,Eating Out
Food from gas station,Eating Out
Drinks with Nicole at Woolwich,Eating Out
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Chai Latte,Eating Out
Rice Asian Mart,Groceries
Bali Bali Dinner w Nicole,Eating Out
Tube,Transportation
Chai Latte,Eating Out
Eating out,Eating Out
Chai Latte,Eating Out
Paella at Food Market,Eating Out
Tesco,Groceries
Tube,Transportation
Bubble Tea,Eating Out
Tube,Transportation
Eat Tokyo,Eating Out
Ice Cream,Eating Out
Papa Johns Pizza,Eating Out
Tube,Transportation
Ikea Lunch,Eating Out
Plants & Pots & other misc Ikea,Social
Milkshake Ikea,Eating Out
Marugame Udon,Eating Out
Wootea London,Eating Out
Tube,Transportation
Eat Tokyo,Eating Out
Tesco,Groceries
Tesco,Groceries
Poundland,Groceries
Tube,Transportation
Bus to Gatwick,Travel
Train to Stevenage,Transportation
Uber,Transportation
Bus,Transportation
Uber,Transportation
Bus,Transportation
Chinese Takeaway,Eating Out
Bubble Tea,Eating Out
Tube,Transportation
Deliveroo Lunch ,Eating Out
Caffe Nero,Eating Out
Car Rental,Travel
Nandos,Eating Out
Tube,Transportation
Hotel Hissan,Travel
Spa w Nicole Morocco,Travel
YSL Museum w Nicole,Travel
Postcards w Nicole YSL,Travel
Nomad Morocco,Travel
Icloud Subscription,Bills
Train to Rabat,Travel
Voxi,Bills
Hotel Braya,Travel
Paul Airport,Travel
