description,category
Voxi,Bills
Vet Snoopy Vaccinatiion,Dogs
McD Breakfast,Eating Out
Lidl,Groceries
Nicole's Bday Cake,Entertainment / Social
Nicole's Bday Flowers,Entertainment / Social
Heating,Bills
Wifi,Bills
Heytea,Eating Out
Breakfast UBS,Eating Out
"Lunch w Joreen, willie etc",Eating Out
Oyster Topup,Transportation
Wasabi,Eating Out
Council Tax,Bills
Janelle Wedding Gift,Entertainment / Social
Homi Kitchen Chili Sauce,Groceries
Raffle tickets,Entertainment / Social
Tesco ,Groceries
Asian Mart,Groceries
Asian Bread Breakfast,Eating Out
UBS Breakfast,Eating Out
Haircut,Grooming
Oyster Topup,Transportation
ICloud Subscription,Bills
Dinner with Jan,Entertainment / Social
Pint with Jan,Entertainment / Social
UBS Breakfast,Eating Out
Eat Tokyo Dinner w Tim,Entertainment / Social
UBS Breakfast,Eating Out
Lidl groceries,Groceries
M&S Fruits,Groceries
Water,Bills
Electricity,Bills
M&S Pastries,Groceries
Tesco,Groceries
Lidl groceries,Groceries
UBS Breakfast,Eating Out
Tesco,Groceries
UBS Breakfast,Eating Out
Biang Biang Noodles,Eating Out
Drinks w Keefe & Cody,Eating Out
UBS Breakfast,Eating Out
Oyster Topup,Transportation
Tesco,Groceries
Lidl groceries,Groceries
Fish & chips,Eating Out
Three Uncles,Eating Out
UBS Breakfast,Eating Out
Tesco Groceries,Groceries
M&S,Groceries
Lidl,Groceries
TKMaxx Dog stuff,Dogs
UBS Breakfast,Eating Out
Rent,Bills
Tesco,Groceries
M&S,Groceries
Deliveroo Three Uncles,Eating Out
Pad Thai,Entertainment / Social
UBS Breakfast,Eating Out
Wasabi,Eating Out
M&S,Groceries
M&S,Groceries
UBS Breakfast,Eating Out
"Triple Birthday with Deeya, Leia",Entertainment / Social
Oyster Topup,Transportation
Unqilo Joggers,Shopping
Lidl,Groceries
Fish & Chips Margate,Entertainment / Social
Dinner Margate ,Entertainment / Social
Train to Margate,Travel
Water Aldi,Groceries
Rimworld,Shopping
Tesco,Groceries
Lidl,Groceries
UBS Breakfast,Eating Out
Voxi,Bills
Dog Insurance,Dogs
Three Uncles,Entertainment / Social
Wasabi,Eating Out
Tesco,Groceries
M&S,Groceries
UBS Lunch,Eating Out
UBS Breakfast,Eating Out
Dog Treats,Dogs
Paella,Eating Out
Tesco,Groceries
Oyster Topup,Transportation
Wifi,Bills
Tesco,Groceries
Drinks with Chee Seng,Entertainment / Social
seaweed,Groceries
chocolate twist,Groceries
Nail Clipper,Grooming
UBS Breakfast,Eating Out
Padella with Chee Seng,Eating Out
Lidl,Groceries
UBS Breakfast,Eating Out
Plaza Khao Gaeng with Nicole,Eating Out
Council Tax,Bills
M&S Groceries,Groceries
Fish & Chips,Eating Out
Totoro Ticket,Entertainment / Social
Icloud,Bills
flowers for rachel,Entertainment / Social
Ice Cream totoro,Eating Out
kangnam pocha,Eating Out
Oyster Topup,Transportation
M&S Groceries,Groceries
Coffee,Entertainment / Social
UBS Breakfast,Eating Out
Lidl,Groceries
Tesco,Groceries
Lidl,Groceries
M&S Groceries,Groceries
UBS Breakfast,Eating Out
UBS M&Ms,Eating Out
UBS M&Ms,Eating Out
UBS Breakfast,Eating Out
TK Maxx,Shopping
Rimworld DLC,Shopping
Charlie Blanket,Dogs
Papa John,Entertainment / Social
M&S Groceries,Groceries
Tesco,Groceries
UBS Breakfast,Eating Out
Uniqlo Joggers,Shopping
Thames Water,Bills
Octopus Electricity,Bills
Wasabi ,Eating Out
UBS Breakfast,Eating Out
Rent,Bills
C&R w Nicole,Eating Out
Demon Slayer Movie,Entertainment / Social
Oyster Topup,Transportation
Flight to Singapore,Travel
M&S Groceries,Groceries
Flight to Japan,Travel
UBS Breakfast,Eating Out
Church Donation,Gifts
Taro London Jap food,Eating Out
Tian Tian Groceries,Groceries
Tesco,Groceries
Market halls thai food w nicole,Eating Out
Lidl Groceries,Groceries
Tesco Groceries,Groceries
Lidl Groceries,Groceries
UBS Breakfast,Eating Out
UBS Breakfast,Eating Out
UBS M&Ms,Eating Out
UBS M&Ms,Eating Out
HeyTea,Eating Out
Wasabi ,Entertainment / Social
UBS M&Ms,Eating Out
UBS M&Ms,Eating Out
UBS Breakfast,Eating Out
Voxi,Bills
Oyster Topup,Transportation
Tesco,Groceries
Papa Johns Deliveroo,Entertainment / Social
Waggel Insurance,Dogs
Dozo w Nicole,Entertainment / Social
Hinaga w Nicole,Entertainment / Social
Salomons for Nicole Bday,Shopping
Tesco Groceries,Groceries
M&Ms UBS,Eating Out
Golden Gate,Entertainment / Social
UBS Breakfast,Eating Out
Tesco,Groceries
Volunteering Lunch,Eating Out
Oyster Topup,Transportation
UBS M&M,Groceries
UBS M&M,Groceries
M&S,Groceries
UBS Breakfast,Eating Out
Jenki Spitafields,Entertainment / Social
Lidl Groceries,Groceries
Gails,Entertainment / Social
Dog stuff / New Bowl,Shopping
Wifi,Bills
Council Tax,Bills
Electricity,Bills
Tesco,Groceries
Airbnb Japan 2026 Kyoto Osaka,Travel
Airbnb Japan 2026 Kyoto Osaka,Travel
Donation to homeless at church,Gifts
Noodle and Beer,Entertainment / Social
Cafe Breakfast w Nicole,Entertainment / Social
Tesco,Groceries
Brentford game pint,Entertainment / Social
Brentford game,Entertainment / Social
Dozo london with Keane,Entertainment / Social
UBS Breakfast,Eating Out
UBS Chocolate,Eating Out
UBS Chocolate,Eating Out
iCloud,Bills
UBS Breakfast,Eating Out
UBS Chocolate,Eating Out
UBS Chocolate,Eating Out
Oyster Topup,Transportation
Heytea,Eating Out
Woojung w Deeya Nicole,Entertainment / Social
UBS Breakfast,Eating Out
Kintan,Eating Out
UBS Chocolate,Eating Out
UBS Chocolate,Eating Out
Pooch & Mutt,Dogs
Five Guys w Nicole,Entertainment / Social
M&S Flowers for Queenie,Shopping
Roast Dinner w Nicole,Entertainment / Social
UBS Breakfast,Eating Out
UBS Chocolate,Eating Out
Oyster Topup,Transportation
UBS Chocolate,Eating Out
UBS Eggs for lunch,Eating Out
UBS Breakfast,Eating Out
Papa Johns Pizza,Eating Out
Tesco,Groceries
Thames Water,Bills
Rent,Bills
Lidl Groceries,Groceries
UBS Breakfast,Eating Out
UBS M&M,Eating Out
UBS M&M,Eating Out
Viet Bahn Mi,Eating Out
Tesco,Groceries
Donation to homeless at church,Gifts
asian mart,Groceries
Zima,Entertainment / Social
Lidl,Groceries
Dog Insurance,Dogs
Dinner near Nicole Office Italian Bread,Eating Out
Breakfast UBS,Eating Out
Tesco,Groceries
Viet Bahn Mi,Eating Out
Lidl,Groceries
Tesco,Groceries
Oyster Topup,Transportation
Scoot Flight to Sg,Travel
Breakfast UBS,Eating Out
UBS M&M,Eating Out
Breakfast UBS,Eating Out
UBS Lunch,Eating Out
flowers for Nicole M&S,Entertainment / Social
Viet Bahn Mi,Eating Out
Deliveroo ,Entertainment / Social
TKMAXX gift for Janelle,Entertainment / Social
McD Breakfast w Nicole,Entertainment / Social
Lidl,Groceries
Voxi,Bills
UBS M&M,Eating Out
UBS Breakfast,Eating Out
Dog Insurance,Dogs
"Viet Bahn Mi, treating Aleks",Eating Out
Wifi Virgin Media,Bills
M&S,Groceries
Tesco,Groceries
NeuHaus,Entertainment / Social
NeuHaus,Entertainment / Social
Food @ Heathrow,Travel
Oyster Topup,Transportation
M&S,Groceries
Heating SSE,Bills
Steam Rimworld,Entertainment / Social
Eye drop,Grooming
Food @ Changi,Entertainment / Social
Food @ Changi,Entertainment / Social
Food @ Changi,Entertainment / Social
Garrett popcorn for Nicole's Dad,Entertainment / Social
Pandan Cake,Entertainment / Social
Airlo Sim for Jkt,Travel
Chateraise,Travel
Nicole's Nails,Travel
Gojek,Travel
Chateraise,Travel
Katsu with Nicole between wedding,Travel
Gojek,Travel
Treating Nicole Family to Dim Sum Breakfast,Travel
Batik,Travel
Tea at Mall,Travel
Sg airport gojek to home,Travel
Korean tofu house treat mom for birthday,Travel
Give Mom Money + Treat Wai Gong & Wai Po Dinner,Travel
Gojek,Travel
Gojek,Travel
Binge Breakfast w Rasheed,Travel
Guardian Eyedrops,Travel
Treating David to food,Travel
Gojek,Travel
Treat Dad for his birthday,Travel
Gojek,Travel
Treat Nicole's Parents to Jack Daniels,Travel
Esim for INdo,Travel
Bar food with Edgar & Arica,Travel
Treat Friends to dinner,Travel
Coffee Bread for myself & Nicole parents,Travel
Apple Icloud,Bills
Gojek,Travel
Treat Tasya & Fadli to Genki,Travel
Food @ Changi,Travel
Food @ Changi,Travel
Wasbi Onigiri,Eating Out
Bus singapore,Travel
Pad Thai @ Victoria Park ,Eating Out
Uniqlo Indo,Travel
Dentist Indo,Travel
Council Tax,Bills
Goggles,Shopping
Shoe bags,Shopping
Electricity,Bills
Water,Bills
UBS Lunch,Eating Out
UBS Breakfast,Eating Out
Lidl,Groceries
Tesco,Groceries
New Bedsheets,Shopping
Oyster Topup,Transportation
Lidl,Groceries
UBS Breakfast,Eating Out
Rent,Bills
Photos w yx & Laasya,Entertainment / Social
Asahi,Entertainment / Social
Mcds,Entertainment / Social
UBS Breakfast,Eating Out
Three Uncles,Eating Out
UBS Breakfast,Eating Out
Oyster Topup,Transportation
Tesco,Groceries
Tesco Cds,Groceries
Viet Pho,Eating Out
Donation to homeless church,Gifts
Golden Gate Bread,Eating Out
Noodle & Beer w Nicole,Eating Out
Airbnb Tokyo,Travel
 Kitchen Aid,Shopping
Groceries Lidl,Groceries
M&M,Eating Out
Voxi,Bills
UBS Breakfast,Eating Out
Heytea,Eating Out
Wasabi w Nicole,Eating Out
Lidl,Groceries
M&M,Eating Out
UBS Breakfast,Eating Out
UBS Breakfast,Eating Out
Boots Nail clippers,Shopping
Dog Insurance,Dogs
3 Uncles,Eating Out
UBS Breakfast,Eating Out
Golden Gate Char Siew Bread,Eating Out
Eat Tokyo,Eating Out
Donation to church,Gift
Mark Bowl,Gift
Waterstones Gift for Prajj,Gift
Oyster Topup,Transportation
Lidl,Groceries
UBS Breakfast,Eating Out
Char Kuey Teow w Zarek,Eating Out
UBS Breakfast,Eating Out
Oyster Topup,Transportation
UBS Breakfast,Eating Out
Council Tax,Bills
Virgin Wifi,Bills
Deliveroo Wingstop,Eating Out
ICloud Storage,Bills
Tesco,Groceries
M&S,Groceries
Lidl,Groceries
Deliveroo Pizza,Eating Out
Heytea,Eating Out
UBS Breakfast,Eating Out
UBS Breakfast,Eating Out
Thames Water,Bills
Octopus Elect,Bills
UBS Breakfast,Eating Out
McD,Entertainment / Social
UBS Breakfast,Eating Out
M&S,Groceries
Oyster Topup,Transportation
Lynn Present,Gifts
Asian Mart,Groceries
Dog Poop bag holder,Dogs
Rudys Lynns birthday,Entertainment / Social
Lidl,Groceries
Arcade Games at Lynn Birthday,Entertainment / Social
C&R,Eating Out
Molly Tea,Eating Out
Oyster Topup,Transportation
UBS Breakfast,Eating Out
Three Uncles,Eating Out
UBS choco,Eating Out
Three Uncles copy,Eating Out
UBS Breakfast,Eating Out
Three Uncles,Eating Out
Rent,Bills
Plaza Khao Gaeng,Entertainment / Social
Tk Alex Gift + Cutlery,Entertainment / Social
Movie,Entertainment / Social
Viet Baguette,Entertainment / Social
Viet Baguette,Entertainment / Social
Steam Games,Entertainment / Social
Lidl,Groceries
Voxi,Bills
Uber to Robin Place,Entertainment / Social
Dog Insurance,Dogs
Dinner groceries,Groceries
Tesco Groceries,Groceries
Draw money,Entertainment / Social
Chinatown Bread,Groceries
Tesco Groceries,Groceries
Zima w Aloy ,Entertainment / Social
Oyster Topup,Transportation
M&S,Groceries
Bus tix to exeter,Travel
Laundry,Living Essentials
Journal for Nicole,Gifts
Train for Homeless,Gifts
Money for Homeless,Gifts
Breakfast with David,Food
Ldn Tube,Travel
Lunch with Nicole,Food
Lunch with Nicole,Food
Dinner with Nicole,Food
Sauce cup,Food
Ldn Tube,Travel
Taxi home,Travel
Converse Patchwork Highs,Personal
Bus ride change,Travel
Flowers for Nicole,Gifts
Milk,Groceries
Ryanair verification,Travel
Tofu,Groceries
Chicken,Groceries
Sweets,Groceries
Fruits,Groceries
Bus home,Groceries
Tuna Sandwich,Food
Bus change from Ldn - Exeter,Travel
Forum Kitchen Lunch,Food
Starbucks,Food
Hot Choc Pret,Food
Lunch Efes,Food
Sainsbury,Groceries
Bus,Transportation
Voxi,Utilities
Train to Southend,Travel
Lunch,Food
Taxi,Transportation
To Stevenage,Travel
Tube,Travel
Train from stevenage to ldn,Travel
Uber to Stevenage Stn,Travel
Train to Ldn from Stevenage,Travel
Wasabi Lunch,Food
Bus to Stansted,Travel
Lunch with anchor brothers,Food
Train to stevenage,Travel
Uber to Stevenage Stn,Travel
Uber to Nicole,Travel
Costa Coffee,Food
Burger King ,Food
Voxi,Utilities
Train to Oslo City,Travel
Andersson Bell Sweater,Personal
Andersson Bell Sweater for Nicole,Gifts
Coffee in Norway,Food
Warmies for Nicole,Gifts
Co-Op Groceries for Norway,Groceries
Tube Ldn,Travel
Oslo Tourist Pass,Travel
Ski Rental & Ski pass,Travel
Lee jeans & beanie,Personal
Vanilla Milkshake,Food
Ralph Lauren Scarf,Personal
Hoodie,Personal
Postcards for Nicole,Gifts
Apple Crumble Gelato,Food
Strawberry Milkshake,Food
Train to Oslo Airport,Travel
Uber to Nicole's,Travel
To stevenage,Travel
Sainsbury,Personal
Uber to Stevenage Stn,Travel
Train to Ldn from Stevenage,Travel
Uber to Stevenage Stn,Travel
Train to Ldn from Stevenage,Travel
Burger King,Food
Train to Vienna City Centre,Travel
Lunch,Food
Gelato,Food
COS Scarf,Personal
Hotel Keycard,Travel
Macs Dinner,Food
Tiramisu Cake,Food
train to budapest that i missed,Travel
Train to budapest,Travel
pizza in vienna,Food
toilet in vienna,Travel
Fried Rice in Budapest,Food
Chicken In Asian Store In Budapest,Food
Aloe Vera in budapest Asian Store,Food
Toilet in Budapest,Travel
Drinks and Burger at sports bar in Budapest,Food
Toilet in Budapest,Travel
Costa Coffee at Stansted,Food
Black Sheep Coffee at Heathrow,Food
Curry & Tofu,Groceries
Egg & Pasta Sauce & Cheese,Groceries
Milk,Groceries
Bus home from town,Transportation
Cny Event Singsoc,Entertainment / Social
Sausages & Mentos,Groceries
Pillows & Bedsheets,Living Essentials
Vitamin C,Living Essentials
Thai Milk Tea,Food
Tangyuan,Groceries
Bubble tea,Food
Somboon ,Food
Washing Machine,Living Essentials
Bus,Transportation
Taxi to bus depot,Travel
Train to Stevenage,Travel
Flowers & Bagel & Jam,Groceries
Uber,Transportation
Uber,Transportation
Uber,Transportation
Uber,Transportation
Beer at spoons,Food
National Express,Travel
Costa Coffee,Food
Tube,Transportation
Burger King Lunch,Food
Voxi Roaming,Travel
Bus to Stockholm Central,Travel
Burgers in Stockholm,Food
Cinnamon Rolls,Food
Co-Op,Groceries
Flix bus to Upsalla,Travel
Ferry Tickets in Stockholm,Travel
Ferry Tickets in Stockholm,Travel
Vanilla Latte & Cinnamon Bun,Food
Bread & Maggie,Groceries
Ikea Meatballs,Food
Ikea Apple Crumble & Ice Cream,Food
Train from Hatfield to Exeter,Travel
Omakase Sushi,Food
Coop,Groceries
Postcards for Nicole,Gifts
Postcards for Nicole,Gifts
Carrot Cake,Food
Shaker Bottle,Personal
Bus date change to april,Travel
Bus to Hatfield,Travel
Bus to Gothenburg from Uppsala,Travel
Voxi Roaming,Travel
Kebab at Uppsala to Gothenburg Bus Terminal,Food
Train at Gothenburg,Travel
Voxi Roaming,Travel
Postcard for Nicole,Gifts
Carrot Cake at Gothenburg,Food
Groceries at Gothenburg,Groceries
Bus to Gothenburg Airport,Travel
Postcard for Nicole,Gifts
Dior Sauvage & Chanel no5 for Nicole,Gifts
Bus to Stevenage,Transportation
Bus to Stevenage,Transportation
"Tesco, Grapes etc",Groceries
Train to London,Transportation
Tesco,Groceries
Facemasks & toner,Health/Medical
Goldmine Ldn with Nicole,Food
Photobooth in Ldn,Entertainment / Social
Train to London,Transportation
"Knoops, Hot Choco",Food
"Knoops, Cookie",Food
Ldn Tube,Transportation
Tesco,Groceries
Yaegaebomb w Nicole & Nicholas,Entertainment / Social
Yaegaebomb,Entertainment / Social
Yaegaebomb,Entertainment / Social
Yaegaebomb,Entertainment / Social
Ldn Tube,Transportation
Uber to Stevenage,Transportation
M&S,Groceries
Somboon Dinner,Food
Taxi home from Somboon w Nicole,Transportation
Laundry,Utilities
Train to St thomas tkmaxx,Transportation
"Tkmaxx, Plates etc",Living Essentials
M&S,Groceries
Poundland,Groceries
Train to Exeter Central,Transportation
Tesco,Groceries
Bus Home,Transportation
Voxi,Utilities
Milk,Groceries
Asian Mart,Groceries
Bus Home,Transportation
Pret,Food
Efes Grill with Nicole,Food
Savers,Living Essentials
M&S,Groceries
Train to Exmouth w Nicole,Travel
Pret,Food
Sainsbury,Groceries
Waffles with Nicole,Food
Tesco,Groceries
M&S,Groceries
Sweden Accomodation,Travel
Bus home,Transportation
UBS Transport - Will get Reimbursed,Travel
Stevenage - London,Travel
Refund Admin Charge lol bc UBS wanted me to change dates,Travel
Tesco,Groceries
M&S,Groceries
Tesco,Groceries
Train Tix to Ldn,Travel
M&S,Groceries
Forum Kitchen,Food
Nicole's Ticket to Exeter,Gifts
M&S,Groceries
Tesco,Groceries
Wilko,Groceries
Bus,Transportation
Train Exeter Central to Davids,Transportation
Tesco,Groceries
Forum Kitchen W Nicole,Food
Drinks w Nicole by the Mill,Food
Taxi home after drinks w Nicole,Transportation
Somboon Lunch w Nicole after Mass,Food
M&S,Groceries
Cerave Body Lotion,Living Essentials
Asian Mart,Groceries
Tesco,Groceries
Singsoc Makan Night,Food
Pret Almond Croissants,Food
Namaste Exeter w Nicole,Food
Sainsbury,Groceries
Bus,Transportation
Taxi to St Davids w Nicole,Transportation
Train to Exe Central from St Davids,Transportation
M&S,Groceries
Tesco,Groceries
"Shampoo, Body Wash, Toothpaste",Living Essentials
Overcharged - Waiting for Refund,Transportation
Night Bus,Transportation
Bus to Ldn,Travel
Somboon,Food
Cds w Nicole,Living Essentials
Tube,Transportation
LSE Dinner w Nicole,Food
Voxi,Living Essentials
Groceries w Nicole,Groceries
Stevenage-Ldn,Transportation
Toba Dinner,Food
Toba Dinner Nicole,Food
Tube,Transportation
Uber,Transportation
Uber,Transportation
Train to Ldn,Transportation
M&S Cookie,Food
Taxi Home from Bus station,Transportation
Tube,Transportation
Bus to city centre,Transportation
Tikka Masala & Coconut Milk,Groceries
Salt & Grapes,Groceries
Pad Thai,Food
Tesco ,Groceries
M&S,Groceries
Rice,Groceries
Bus,Transportation
Bus,Transportation
Pizzas,Food
Return tix to ldn,Travel
Groceries,Groceries
Tube,Transportation
Movie w Nicole,Entertainment / Social
Firejacks w Nicole,Food
Train Stevenage - Ldn,Travel
Nicole Lunch,Food
Taxi Home from Bus station,Travel
Tube,Transportation
Dinner Forum Kitchen,Food
Pret Egg Sandwich,Food
bus,Transportation
mentos co-op,Groceries
Sandwich co-op,Food
Half Chicken Meal,Food
Burrito Exeter,Food
KinKhao Lunch w Keane & Heegon,Food
M&S,Groceries
Tesco,Groceries
Ldn- Exeter Train,Travel
Streplis for throat,Health/Medical
Cds w Nicole,Living Essentials
Carrot Cake @ Waterstones,Food
Somboon,Food
Plymouth tixs w Nicole,Travel
Starbucks Ham& Cheese Panini,Food
Tube,Transportation
Tesco,Groceries
Tesco,Groceries
Plymouth Airbnb,Travel
Tesco,Groceries
Eat Tokyo w Nicole,Food
Ldn-Exeter,Travel
Tube,Transportation
Boots,Health/Medical
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Bus home to Stevenage,Transportation
Bus home to Stevenage,Transportation
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Tube,Transportation
Bus home to Stevenage,Transportation
Krispy Kreme,Food
Tube,Transportation
Tesco,Groceries
Chai Latte w Nicole at Plymouth,Food
Cake by terrace at Plymouth,Food
Fish & Chips @ Plymouth,Food
Ice Cream @ Plymouth,Food
Pasta @ Plymouth,Food
Tesco,Groceries
Fish & Chips @ Plymouth,Food
Mountbatten Ferry,Transportation
Taxi home @ Plymouth,Transportation
Fish & Chips @ Plymouth,Food
Boat ride to Cawsand & Kingsand,Transportation
"Hot tea, Chocolate & Cake @ the Dome Plymouth",Food
Chicken Dinner otw back to Exeter,Food
Voxi,Utilities
Train to exeter central,Transportation
Standing Fan,Living Essentials
Starbucks Breakfast,Food
Hot Choco @ Cafe Nero,Food
Kecap Manis,Groceries
Rasa Sayang London,Food
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Tube,Transportation
Bus home to Stevenage,Transportation
Bus home to Stevenage,Transportation
Train to Ldn from Stevenage,Transportation
Lunch w Jeremy,Food
Mango Lychee Tea @ Whittard,Food
Tsujiri,Food
Train to Stevenage from Ldn,Transportation
Tube,Transportation
Donuts @ Co-Op,Groceries
Bus home to Stevenage,Transportation
Old Town Lunch w Nicole,Food
Din Tai Feng w Nicole & Nicholas,Food
Tube,Transportation
Train to Ldn from Exeter,Transportation
Tesco,Groceries
Tesco,Groceries
Bus home to Stevenage,Transportation
Grapes & Donuts @ Co-Op,Groceries
Bus home to Stevenage,Transportation
Coffee London,Food
Meet Fresh London,Food
Bus home to Stevenage,Transportation
Tube,Transportation
TK Maxx,Food
Tesco,Groceries
Bus home to Stevenage,Transportation
Japanese Food w Nicole,Food
Whale Tea,Food
Rasa Sayang,Food
Cabin Zero Bag,Personal
Flights to Barcelona,Travel
Tube,Transportation
Airbnb in Barcelona,Travel
Chili Oil,Groceries
Groceries w Nicole,Groceries
Ldn-Exeter,Travel
Exeter-Ldn,Travel
Giselle's Tickets Ldn & Exe,Giselle
Ldn-Exeter,Travel
Exeter-Ldn,Travel
Bus home to Stevenage,Transportation
Starbucks,Food
Tesco,Groceries
co-op,Groceries
Food,Food
Uber to station,Transportation
Train to Hatfield,Transportation
Tube,Transportation
Clothes Rack + Tupperware,Living Essentials
Filter + Chicken Stock,Gifts
M&S,Groceries
Soy Milk,Groceries
Meat,Groceries
Eggs,Groceries
Taxi,Transportation
Giselle Flights to Italy,Giselle
Flights to Italy,Travel
Train to London,Travel
Train to Exeter,Travel
Airbnb Italy,Travel
Giselle Bus to Florence,Giselle
Bus to Florence,Travel
Giselle Bus to Rome,Giselle
Bus to Rome,Travel
Rent for London,Rent
icloud,Living Essentials
Bus,Transportation
Bus,Transportation
Train,Travel
Train,Travel
Train,Travel
Train,Travel
Wa cafe with Nicole,Food
Uber,Transportation
Snacks,Groceries
Tube,Transportation
Uber,Travel
Train,Travel
Krispy Kreme,Food
Burger King,Food
Tube,Transportation
Esso,Food
Giselle Train to Exeter,Giselle
Costa Coffee,Food
Groceries w Nicole,Groceries
Tube,Transportation
Voxi,Living Essentials
Kintan w Nicole,Food
M&S,Groceries
Tesco,Groceries
Sainsbury,Groceries
Asian Mart,Groceries
Bubble Tea,Food
TKmaxx,Living Essentials
Train to Stansted,Travel
Burger King,Food
Voxi EU addon,Travel
Tube,Transportation
Metro Barcelona,Transportation
Burger Barcelona,Food
Tube,Transportation
Bus Barcelona,Transportation
Giselle,Giselle
Tortilla & Sangria Dinner Barcelona,Food
Breakfast Barcelona Orange Juice & Panini,Food
Paella & Octopus & Sangria Lunch,Food
Postcards,Gifts
Postcards,Gifts
Pastry for Dinner,Food
Sangria,Food
Pizza Dominos,Food
Bus Barcelona,Transportation
Bus Barcelona,Transportation
Candle Church,Travel
Entrance fee to top of Tibidabo,Travel
Tortilla & Latte,Food
Bus Ticket to Airport,Travel
Chocolate,Food
Snowglobe for Nicole's Mom,Gifts
Burger King,Food
Stansted-Liverpool,Travel
Handsoap,Living Essentials
Lidl,Food
Giselle,Giselle
Giselle,Giselle
Giselle,Giselle
Tube,Transportation
Spain bus,Transportation
Spain bus,Transportation
NIKI Concert,Entertainment / Social
Train To Stevenage,Transportation
Groceries w Nicole,Groceries
Bus Stevenage,Transportation
Tube,Transportation
Tesco,Groceries
Train,Transportation
Tube,Transportation
Lidl,Groceries
Tesco,Groceries
Mango Juice,Groceries
Bus Exeter,Transportation
Train to Brighton,Travel
Swimshorts,Personal
Airbnb Brighton,Travel
Bus Exeter Giselle,Giselle
Orange Juice,Groceries
Tube,Transportation
Forum Kitchen,Food
London Rent,Giselle
Nicole Almond Croissant,Gifts
Esso,Food
Train to Exeter,Transportation
Starbucks,Food
Tube,Transportation
Tokyo Diner,Food
Ice Cream,Food
Lidl,Groceries
Uber ,Transportation
Tube,Transportation
Co-Op,Groceries
Bus,Transportation
Tesco,Groceries
Baos Kew Garden,Food
TkMaxx,Personal
LSE,Food
Asian Mart,Groceries
Asian Mart,Groceries
Asian Mart,Groceries
Bus,Transportation
Tube,Transportation
Lidl,Groceries
Clothes Rack,Living Essentials
Tube,Transportation
Lidl,Groceries
Towel,Living Essentials
June Rent,Rent
Giselle,Giselle
Tesco,Groceries
Bus,Transportation
Esso,Groceries
Tortilla,Food
Paella,Food
Tube,Transportation
Paella,Food
Groceries,Groceries
Apple subscription,Personal
M&S,Groceries
Lidl,Groceries
Tube,Transportation
Uber + bus,Transportation
Milkshake,Food
Apple subscription,Personal
Tube,Transportation
Train to Stansted,Travel
Voxi Europe,Travel
Burger King,Food
Transport to Venice,Travel
Transport to Venice,Giselle
Transport to Venice,Travel
Transport to Venice,Giselle
Dinner in Venice,Food
Dinner in Venice,Giselle
Transport to Venice,Travel
Transport to Venice,Giselle
Lunch in Venice,Food
Lunch in Venice,Giselle
Food,Food
Voxi,Living Essentials
Pedron Caffe,Food
Pedron Caffe,Giselle
Tube,Transportation
Lunch in Padua,Food
Lunch in Padua,Giselle
Tram,Transportation
Tram,Giselle
McD,Food
McD,Giselle
Lunch in Florence,Food
Lunch in Florence,Giselle
Water,Food
Water,Giselle
Ice Cream,Food
Ice Cream,Giselle
Slippers,Personal
Dinner in Florence,Food
Dinner in Florence,Giselle
Dinner in Florence,Food
Dinner in Florence,Giselle
Water,Food
Water,Giselle
Dinner in Florence,Food
Dinner in Florence,Giselle
Ice Cream,Food
Ice Cream,Giselle
Rome Transport,Transportation
McD,Food
McD,Giselle
McD,Food
McD,Giselle
Holy Water,Personal
McD,Food
McD,Giselle
McD,Food
McD,Giselle
Rome Transport,Transportation
Carbonara,Food
Carbonara,Giselle
Ice Cream,Food
Ice Cream,Giselle
Rome Transport,Transportation
Sandwich,Food
Sandwich,Giselle
Pisa,Food
Pisa,Giselle
Pasta Dinner Pisa,Food
Pasta Dinner Pisa,Giselle
Transport to Airport Pisa,Transportation
Transport to Airport Pisa,Giselle
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
Dinner w Nicole,Food
Tube,Transportation
Uber + Uber eats + Bus,
Chinatown,Food
Old Town,Food
Wasabi,Food
Tube,Transportation
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Tesco,Groceries
Arriva Bus,Transportation
Tube,Transportation
TKMaxx,Personal
Tesco,Groceries
Lidl,Groceries
The Bystander,Food
Riddle & Fins,Food
Pier View,Food
Tube,Transportation
Tube,Transportation
Tube,Transportation
Wasabi,Food
Meet Fresh,Food
Tube,Transportation
Wasabi,Food
Lidl,Groceries
UBS Breakfast,Food
Tube,Transportation
Boots,Living Essentials
Chinatown,Food
Bingsu,Food
Tube,Transportation
UBS Breakfast,Food
Eat Tokyo,Food
Arriva Bus,Transportation
Tube,Transportation
July Rent,Rent
Stevenage Bus,Transportation
Trainline,Transportation
Boots,Toiletries
Wasabi,Food
Tube,Transportation
Ice Cream,Food
Goldmine,Food
Trainline,Transportation
Tube,Transportation
Stevenage Bus,Transportation
Island Poke,Food
Train Fine,Transportation
Tube,Transportation
Lidl,Groceries
Tube,Transportation
UBS Breakfast,Food
Apple Cloud,Subscriptions
Tube,Transportation
Lidl,Groceries
